Dream Text;Emotion Label;Theme
"A friend of mine was driving me somewhere, and we were singing along to songs in the background. Then, out of nowhere, he started shaking. I thought he was having some kind of medical emergency, and he said, 'I need to talk to you.' I told him to pull over so we could talk, but he kept driving for a bit and finally stopped in a small village. Once we got there, I don't think he actually said anything to me; he just hugged";sadness_grief;illness
I was at a Chinese restaurant with my group of friends, and we were looking for a table. I noticed some writing—it wasn't in Italian, and I couldn't tell which Asian language it was, but in my mind, it was as if I knew it completely, so it was impossible for me not to read it. While the others;curiosity_surprise;reading
I was at a tabacco shop in Campobasso. A tall guy approached me, touched my cheeks, and then stepped away for a moment. Meanwhile, my dad was playing the Superenalotto. I tried calling out to him a couple of times, but he wouldn't turn around, so I yelled. My dad then said to the tall guy, 'Alright, let's step outside so we can talk.' But the guy assumed my dad wanted to beat him up, so he called his crew. They surrounded my dad, who wisely retreated back inside the shop. Then the clerk, Francesco, who was clearly used to brawls, said, 'Come to the back of the shop, let's settle this.' At that point, two young guys and a girl came out with;anger_frustation;father_figure
I was at an outdoor party with some friends. At a certain point, Samurai Jay—the famous Italian rapper—showed up and started performing his song Ossessione. We all kept dancing and having a great time,;joy_amusement;partying
I was in a kitchen that had been shattered into a thousand pieces. Suddenly, my friend Valeria was inside a kitchen cabinet. As I walked forward, the room continued to break down and crumble. Eventually, it became almost like a bizarre treasure hunt—I kept;curiosity_surprise;fantasy
I am seeing a medium shot of a very cute blonde girl on holidays. We jump to a house in Marocco with two dogs: one is eating while the other is starving, because he is waiting for his owner to come back. These are two Shiba Inus,;disappointment_remorse;pets
I am taking part in a competition, in which you have to build a robot capable of clearing out obstacles. The design;curiosity_surprise;robots
Dinner time by the sea. The sun rises, it is time to go back home. The subway is still closed, so I look up at Google maps for directions. A girl near me asks me about the closest subway station. We go together to it. Now it is open and we go down the stairs. When I am riding inside the cabin, a stranger says something disrespectful to me. I go to confront him, but a man in military attire steps in. So, I confront him as well, and third person;fear_anxiety;daily_life
I am driving on familiar roads. It is sunset. I grant my friend Riccardo shelter in an abandoned house that I am somewhat attached to. He makes a lists of the missing food items and tells that many shelfs are;gratitude_relif;fantasy
I am taking care of my mom in old age: I help her eating and bring her upon my arms when she is not walking on;gratitude_relif;daily_life
I am waking up in a city that is stranger to me. The first day I discovering the streets with a destination in mind: passing by hills I find less and less people. On the second day, I am following some youngsters up to a strange looking castle. I step;curiosity_surprise;daily_life
I am taking pictures of my mom. Afterwards, I take up a guitar, she asks me why have I never learnt how to play. I try something: pushing with the index finger the top string, and with;love_caring;daily_life
I am in a grocery store, next to the aisle of fish and seafood. An octopus is still alive. It moves, it follows me. We bond, and start to call him Rufus. I am giving him a snack in a jar made of glass to see if he manages to open it. I hear someone says the store;love_caring;fantasy
I won with Justin Gaethje fight of the night and I became rich. So I paid 5 of my friends the tickets to a museum, in it there’s a room no one could enter, with a sign that says “never ever open this door”. But outside there was a park with a lot people playing sports. I could get my hands on a;excitement_pride;daily_life
Two fisherman are competing. One of the two is a kid. He did some cheating and got caught. I stepped in to help him, i said to him: “learn from this experience, and I’ll pay your debt for you if you promise me that you will change”. He agreed. I went to the register to pay with my card, but the cashier said that my balance was not;embarassment_confusion;daily_life
I was swimming in Greece with my friends and the sea suddenly became very rough. One of them started drowning and went underwater. I ran to the shore to look for help, but there were only locals there. I tried to communicate by gesturing, but I couldn't speak English or Greek. There was a strong feeling of;fear_anxiety;water_boats_swimming
I was in a strange place with my girlfriend, like the endless yellow corridors of the Backrooms. Suddenly, something started chasing us, maybe a video game character. We ran up some stairs, trying to escape through different rooms. All of a sudden I fell down. She managed to keep running, but;fear_anxiety;supernatural_zombies_media
I was in an office and I couldn't finish a completely useless task. I felt stuck in an endless loop, while my colleagues ignored it and went on with their lives. At some point, my boss turned out to be Vannacci and the work became surreal. When I went home, my family looked at me with anger, as if I;embarrassment_confusion;office_documents_work
I was driving to Milan and the road was blocked by aggressive football fans. They were looking for rival fans, so I tried to blend in. They forced me to show them my Instagram, and they saw I followed the rival team. Terrified, I accelerated and drove right through them. The scene suddenly shifted to a courtroom, where a judge dismissed the charges;fear_anxiety;sports_teams
I was driving at night on a very narrow road in heavy rain. Suddenly, I saw a fallen tree blocking the way and slammed on the brakes, stopping just inches from it. I got out to check the damage, but when I looked at the car, I realized it had no wheels at all. The weirdest part was that I had been driving without them;anger_frustration;vehicles_driving
I was at my grandmother's house and had to walk to my old high school. I kept walking but never seemed to arrive. When I finally got there late, the school office told me I couldn't enter and that my college degree had been canceled. I panicked because it meant I couldn't attend my master's degree and had to redo all;fear_anxiety;school_university_exams
I was visiting my old childhood home with the new tenants. I met my father there, and while talking, I found out that he and my mother had secretly gotten back together years ago. The craziest thing was discovering I had a secret 12-year-old brother who was living in Canada. Apparently, he had been sent away because of strange and confusing citizenship;curiosity_surprise;wedding_marriage
Lorenzo was asking me to go out and he was really determined to go out, but I was supposed to go out with Ayan that day, and I did not know;embarrassment_confusion;chilling
We had around 10 open jars of pesto, all almost finished, and I used them to make one big pesto pasta, using the pasta water to melt and;joy_amusement;cooking
I had a lot of earphones, around 10 pairs, and they kept falling, and then in the gym locker room people were;fear_anxiety;crimes
Leonardo and Luca Russo bought me a phone, but I did not like it that much and it did not have wireless charging. However, I liked it because it had a;disappointment_remorse;daily_life
I was supposed to go study with Giacomo, the guy from university, at the university. He was supposed to pick me up by car at Ostiense so we could go together, but since it was not convenient for him to come and get me, in the end he did not come. I got offended, and then later, when I called Leonardo, I found out;anger_frustration;school_university_exams
